2025-10-01 13:12:22,653 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:12:22,663 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:12:22,673 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:12:22,683 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:12:22,692 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:12:22,703 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:12:22,712 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:12:22,722 - Sensor 1: BLOCKED | Sensor 2: OPEN
2025-10-01 13:12:22,733 - Sensor 1: OPEN | Sensor 2: OPEN2025-10-01 13:35:09,258 - Logging to logs/stepper.log
2025-10-01 13:35:09,259 - Starting stepper motor control
2025-10-01 13:35:25,559 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,574 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,586 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,599 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,612 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,624 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,637 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,648 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,659 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,672 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,682 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,694 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,707 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,720 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,732 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,744 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,757 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,770 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,782 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,794 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,807 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,820 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,832 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,844 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,857 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,868 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,881 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,894 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,906 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,918 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,931 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,944 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,957 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,967 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,978 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:25,990 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,002 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,015 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,028 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,041 - Sensor 1: OPEN | Sensor 2: OPEN
2025-10-01 13:35:26,052 - Sensor 1: OPEN | Sensor 2: OPEN
